galaxy_id,sample_branch,control_tier,n_realizations,n_valid_realizations,observed_statistic,control_median,control_mean,control_std,control_p05,control_p16,control_p84,control_p95,empirical_percentile_observed,empirical_p_two_sided,finite_status,notes
G0001,partial_rank_134,circular_shift_control_partial_rank,8,8,-0.87580888004870128,0.16373698846639015,0.1126547457932674,0.71433266739666146,-0.84360584529038052,-0.66882646028641779,0.88171002276633015,0.95136164384111011,0.125,0.44444444444444442,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0001,partial_rank_134,circular_shift_control_partial_rank_absolute,8,8,0.87580888004870128,0.76547826449140799,0.64815122877879716,0.3207214306720248,0.11620524153081117,0.3466929637511289,0.92243733169733022,0.96544533841954672,0.625,0.44444444444444442,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0001,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.87580888004870128,-0.0094993101668705004,-0.0063960401373712823,0.37371732282587167,-0.61506472572356385,-0.39980134498127934,0.38941293035569768,0.62004241317213071,0.002,0.005994005994005994,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0001,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.87580888004870128,0.26562133103320856,0.30703382454838912,0.21315669657030395,0.030935826731032564,0.085452084703344908,0.53998999645153112,0.70406771448140082,0.995,0.005994005994005994,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0002,partial_rank_134,circular_shift_control_partial_rank,15,15,-0.38643158221917195,0.10858356697058906,0.018220761391007732,0.45952850947239282,-0.67060620234805501,-0.5706783211461125,0.48631776234339313,0.59232928095419113,0.26666666666666666,0.625,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0002,partial_rank_134,circular_shift_control_partial_rank_absolute,15,15,0.38643158221917195,0.41176475652914973,0.41425498559996549,0.19972795014508987,0.078414891031784062,0.20679780575375123,0.60707023223365175,0.6706062023480549,0.40000000000000002,0.625,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0002,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.38643158221917195,-0.0045893570983462258,-0.00076395748135645687,0.26856480481351347,-0.41513485244029286,-0.2893339771345389,0.28282160751906488,0.43517358426430275,0.070000000000000007,0.14485514485514486,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0002,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.38643158221917195,0.21287654475013348,0.22624633653891116,0.1447074055405447,0.024547257575099561,0.073992380190365692,0.37499024546614296,0.48402298452101467,0.85599999999999998,0.14485514485514486,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0002,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.777578969992895,0.777578969992895,0.77757896999289511,1.107443988915824e-16,0.777578969992895,0.777578969992895,0.777578969992895,0.777578969992895,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0002,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.78153153306739143,0.78153153306739143,0.78153153306739154,9.6340238675181656e-17,0.78153153306739132,0.78153153306739143,0.78153153306739154,0.78153153306739154,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0002,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0002,spectral_control_76,smooth_profile_linear_reference,1,1,,0.55293651198333094,0.55293651198333094,0,0.55293651198333094,0.55293651198333094,0.55293651198333094,0.55293651198333094,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0002,spectral_control_76,smooth_profile_quadratic_reference,1,1,,0.57036991400033354,0.57036991400033354,0,0.57036991400033354,0.57036991400033354,0.57036991400033354,0.57036991400033354,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0003,partial_rank_134,circular_shift_control_partial_rank,13,13,-0.2215437674069248,0.045640403288532555,0.015180578763934412,0.4873727883841073,-0.6933246339990039,-0.57862015402867772,0.54398053875682928,0.73707047773556789,0.30769230769230771,0.7142857142857143,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0003,partial_rank_134,circular_shift_control_partial_rank_absolute,13,13,0.2215437674069248,0.3611369282520232,0.41537294808353153,0.25539772675046202,0.05035139697126733,0.14903601922134749,0.70310291786879886,0.76952813154048039,0.30769230769230771,0.7142857142857143,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0003,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.2215437674069248,0.01407230035918957,0.00029475445119983947,0.28504442503157595,-0.46484173229622117,-0.29980976403201037,0.28020429262259405,0.46549699197223759,0.24199999999999999,0.47552447552447552,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0003,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.2215437674069248,0.21087581459131555,0.23194766257768082,0.16568250645894553,0.02199340446587679,0.057277847743328517,0.40659939596584765,0.55646982222010799,0.52549999999999997,0.47552447552447552,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0004,partial_rank_134,circular_shift_control_partial_rank,11,11,-0.61860726494292462,0.053253400232030568,0.056237024085720393,0.60966611198976417,-0.83253042846656156,-0.63605359683432916,0.68752295316962864,0.83253042846656167,0.18181818181818182,0.5,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0004,partial_rank_134,circular_shift_control_partial_rank_absolute,11,11,0.61860726494292462,0.53282500438409208,0.54560695201630915,0.2777920533388355,0.053253400232030595,0.28553856533420779,0.8242036398751863,0.87416437142343861,0.59090909090909094,0.5,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0004,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.61860726494292462,-0.03694413395890668,-0.026453959492882768,0.30238341259692014,-0.50721353357889376,-0.33202462478851547,0.29496415075177185,0.46993196802705034,0.014999999999999999,0.026973026973026972,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0004,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.61860726494292462,0.23312097038278623,0.25261794535740884,0.1682846216087838,0.024602258554595406,0.076659362376086893,0.43074217976659301,0.56027498901859385,0.97399999999999998,0.026973026973026972,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,circular_shift_control_partial_rank,30,30,-0.56526427651121214,0.023739518225314869,0.018790961227448812,0.58455148273939739,-0.8015398761003717,-0.67503587805802656,0.70343086906394547,0.8133929080902621,0.23333333333333334,0.5161290322580645,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,circular_shift_control_partial_rank_absolute,30,30,0.56526427651121214,0.55665968805976207,0.53193459967136547,0.24310310131535473,0.10237730058202796,0.27221456393395377,0.78960817460923982,0.83002936487863588,0.5,0.5161290322580645,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.56526427651121214,-0.0025299412425513622,0.0013102908036621468,0.18153993323105519,-0.31247176185952735,-0.17516480706035903,0.17636113655907143,0.29435915135639212,0.001,0.001998001998001998,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.56526427651121214,0.11837560931054641,0.14427933473029997,0.11019046142615152,0.01066641137823489,0.033280984859393764,0.26059147038550839,0.3519673250515008,0.999,0.001998001998001998,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.75897433277648096,0.75897433277648096,0.75897433277648085,1.4891066787741193e-16,0.75897433277648096,0.75897433277648096,0.75897433277648108,0.75897433277648108,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.54249759670832232,0.54249759670832232,0.54249759670832254,1.8640509028633514e-16,0.54249759670832232,0.54249759670832232,0.54249759670832243,0.54249759670832254,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
